timestamp,src,dest,label,event_type
1641790800.047368,159.231.81.160,PORT_61953,HAS_PORT,add
1641790800.047368,163.21.62.212,PORT_9099,HAS_PORT,add
1641790800.047368,159.231.81.160,163.21.62.212,DEPENDS_ON,add
1641790800.054533,80.209.130.113,203.65.6.221,DEPENDS_ON,add
1641790800.054533,203.65.6.221,PORT_5481,HAS_PORT,add
1641790800.054533,80.209.130.113,PORT_36178,HAS_PORT,add
1641790800.055084,44.206.185.16,203.65.127.167,DEPENDS_ON,add
1641790800.055084,44.206.185.16,PORT_34061,HAS_PORT,add
1641790800.055084,SERVICE_DNS,203.65.127.167,INSTALLED_AT,add
1641790800.055084,203.65.127.167,PORT_53,HAS_PORT,add
1641790800.056729,133.240.212.13,52.97.195.75,DEPENDS_ON,add
1641790800.056729,52.97.195.75,PORT_8282,HAS_PORT,add
1641790800.056729,133.240.212.13,PORT_60638,HAS_PORT,add
1641790800.056792,133.118.210.115,PORT_23,HAS_PORT,add
1641790800.056792,95.35.231.30,PORT_52709,HAS_PORT,add
1641790800.056792,95.35.231.30,133.118.210.115,DEPENDS_ON,add
1641790800.056792,SERVICE_TELNET,133.118.210.115,INSTALLED_AT,add
1641790800.058806,223.48.153.53,PORT_14720,HAS_PORT,add
1641790800.058806,223.48.153.53,133.250.143.90,DEPENDS_ON,add
1641790800.058806,133.250.143.90,PORT_24350,HAS_PORT,add
1641790800.060446,131.195.197.86,PORT_5900,HAS_PORT,add
1641790800.060446,131.195.197.86,172.35.67.213,DEPENDS_ON,add
1641790800.060446,172.35.67.213,PORT_52611,HAS_PORT,add
1641790800.060815,SERVICE_HTTPS,54.150.190.30,INSTALLED_AT,add
1641790800.060815,163.21.66.202,PORT_59336,HAS_PORT,add
1641790800.060815,163.21.66.202,54.150.190.30,DEPENDS_ON,add
1641790800.060815,54.150.190.30,PORT_443,HAS_PORT,add
1641790800.061118,141.225.9.232,133.250.166.15,DEPENDS_ON,add
1641790800.061118,141.225.9.232,PORT_41905,HAS_PORT,add
1641790800.061118,SERVICE_SSH,133.250.166.15,INSTALLED_AT,add
1641790800.061118,133.250.166.15,PORT_22,HAS_PORT,add
1641790800.061172,131.195.197.86,172.35.67.213,DEPENDS_ON,add
1641790800.061172,172.35.67.213,PORT_52611,HAS_PORT,add
1641790800.061172,131.195.197.86,PORT_5900,HAS_PORT,add
1641790800.061591,133.250.94.18,PORT_23,HAS_PORT,add
1641790800.061591,128.56.95.40,133.250.94.18,DEPENDS_ON,add
1641790800.061591,SERVICE_TELNET,133.250.94.18,INSTALLED_AT,add
1641790800.061591,128.56.95.40,PORT_42691,HAS_PORT,add
1641790800.066971,193.108.104.198,PORT_443,HAS_PORT,add
1641790800.066971,163.21.251.47,PORT_61712,HAS_PORT,add
1641790800.066971,193.108.104.198,163.21.251.47,DEPENDS_ON,add
1641790800.067544,163.21.251.47,PORT_61712,HAS_PORT,add
1641790800.067544,193.108.104.198,PORT_443,HAS_PORT,add
1641790800.067544,193.108.104.198,163.21.251.47,DEPENDS_ON,add
1641790800.069653,133.240.144.218,34.25.108.225,DEPENDS_ON,add
1641790800.069653,34.25.108.225,PORT_55236,HAS_PORT,add
1641790800.069653,133.240.144.218,PORT_443,HAS_PORT,add
1641790800.071333,223.48.153.53,PORT_14720,HAS_PORT,add
1641790800.071333,223.48.153.53,133.250.143.90,DEPENDS_ON,add
1641790800.071333,133.250.143.90,PORT_24350,HAS_PORT,add
1641790800.071847,SERVICE_TELNET,163.21.226.239,INSTALLED_AT,add
1641790800.071847,119.74.234.84,163.21.226.239,DEPENDS_ON,add
1641790800.071847,119.74.234.84,PORT_47378,HAS_PORT,add
1641790800.071847,163.21.226.239,PORT_23,HAS_PORT,add
1641790800.072064,163.21.181.229,PORT_64723,HAS_PORT,add
1641790800.072064,SERVICE_HTTPS,54.24.107.199,INSTALLED_AT,add
1641790800.072064,163.21.181.229,54.24.107.199,DEPENDS_ON,add
1641790800.072064,54.24.107.199,PORT_443,HAS_PORT,add
1641790800.074188,163.21.27.248,PORT_30716,HAS_PORT,add
1641790800.074188,104.38.91.203,PORT_41352,HAS_PORT,add
1641790800.074188,104.38.91.203,163.21.27.248,DEPENDS_ON,add
1641790800.074927,163.21.66.202,129.226.241.44,DEPENDS_ON,add
1641790800.074927,163.21.66.202,PORT_59439,HAS_PORT,add
1641790800.074927,129.226.241.44,PORT_80,HAS_PORT,add
1641790800.074927,SERVICE_HTTP,129.226.241.44,INSTALLED_AT,add
1641790800.078035,13.125.104.134,PORT_123,HAS_PORT,add
1641790800.078035,13.125.104.134,203.65.127.167,DEPENDS_ON,add
1641790800.078035,203.65.127.167,PORT_123,HAS_PORT,add
1641790800.080105,143.249.70.86,PORT_61953,HAS_PORT,add
1641790800.080105,133.250.91.220,PORT_3500,HAS_PORT,add
1641790800.080105,143.249.70.86,133.250.91.220,DEPENDS_ON,add
1641790800.080826,89.231.75.227,PORT_48152,HAS_PORT,add
1641790800.080826,89.231.75.227,133.250.126.242,DEPENDS_ON,add
1641790800.080826,133.250.126.242,PORT_37009,HAS_PORT,add
1641790800.08103,192.63.225.250,62.67.8.154,DEPENDS_ON,add
1641790800.081947,133.240.219.31,62.67.8.154,DEPENDS_ON,add
1641790800.087739,117.121.182.35,PORT_57661,HAS_PORT,add
1641790800.087739,202.152.168.215,PORT_445,HAS_PORT,add
1641790800.087739,117.121.182.35,202.152.168.215,DEPENDS_ON,add
1641790800.09926,147.108.109.189,163.21.110.21,DEPENDS_ON,add
1641790800.09926,SERVICE_TELNET,163.21.110.21,INSTALLED_AT,add
1641790800.09926,163.21.110.21,PORT_23,HAS_PORT,add
1641790800.09926,147.108.109.189,PORT_59420,HAS_PORT,add
1641790800.100009,203.65.114.97,PORT_13827,HAS_PORT,add
1641790800.100009,203.65.114.97,95.35.171.217,DEPENDS_ON,add
